DATE,TESTER,PRODUCT,LOT NUMBER,TEST STEP,DATE LOT STARTED,LAST UPDATE,TOTAL IN,HANDLER,STATUS,LOADING COUNTS,TOTAL,AUTO1,AUTO2,AUTO3,LAST UPDATE (2),ENDLOT,ENDLOT_TESTER_RAW
2026-01-31 03:43:51,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 22:15:10,131938,CHROMA,error,8129,8124,7896,0,188,2026-01-31 03:12:50,0,
2026-02-02 10:15:15,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 10:11:36,131938,CHROMA,running,8655,8644,8398,0,202,2026-02-02 10:06:34,0,
2026-02-02 13:59:40,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 13:56:04,131938,CHROMA,running,10040,10029,9724,55,250,2026-02-02 13:54:01,0,
2026-02-02 14:48:02,AP-2,ES9842,TGWBS02G30,25C_BIN1_65C_FT-1,2026-01-29 13:35:00,2026-02-02 14:30:26,56860,NS-5,stopped,14072,13999,7763,1081,4910,2026-02-02 14:43:31,0,
2026-02-02 15:05:29,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-02-02 15:05:29,60181,NS-3,end_lot,22416,22343,17124,2959,2237,2026-02-02 15:05:29,0,
2026-02-02 19:09:55,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 19:06:20,131938,CHROMA,running,11869,11858,11490,64,304,2026-02-02 19:04:23,0,
2026-02-02 20:15:25,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 20:11:44,131938,CHROMA,running,12278,12268,11881,66,321,2026-02-02 20:11:40,0,
2026-02-02 21:55:15,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 21:51:43,131938,CHROMA,running,12877,12866,12450,74,342,2026-02-02 21:49:59,0,
2026-02-02 22:12:32,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 22:08:55,131938,CHROMA,running,12972,12961,125668,74,343,2026-02-02 22:05:30,0,
2026-02-02 23:59:24,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-02-02 23:55:49,131938,CHROMA,running,13635,13624,13190,74,360,2026-02-02 23:54:12,0,
